model,metric,term,estimate,std_error,t_value,p_value,p_value_corrected,stars
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.487438056504256,0.017479164746340495,85.09777658658842,8.497127299115e-312,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.5385989006736299,0.024737447993441044,21.772613764218345,1.158622083798142e-75,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.8384980141068555,0.024728040044661566,33.90879392755899,4.326870070020632e-135,0,***
google--gemma-3-4b-it,dependency_distance_mean,typeregular,0.1418240323648348,0.02471927184322858,5.737387139244761,1.6159902132250145e-8,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1:typeregular,-0.12894360828207463,0.03497738265906406,-3.686485336508165,2.506733443059904e-4,0.009,**
google--gemma-3-4b-it,dependency_distance_mean,levelC1:typeregular,-0.17674694798258306,0.034966481897418675,-5.05475353514564,5.937154837189473e-7,0,***
google--gemma-3-4b-it,doc_length,(Intercept),51.409876543214416,3.709617246316855,13.85853933967377,1.579473658206589e-37,0,***
google--gemma-3-4b-it,doc_length,levelB1,77.8432098765388,5.246191020954367,14.838043366247433,5.92913411185178e-42,0,***
google--gemma-3-4b-it,doc_length,levelC1,147.37530864197078,5.246191020954367,28.091868567752005,2.7120864980336522e-107,0,***
google--gemma-3-4b-it,doc_length,typeregular,22.74814814814462,5.246191020954388,4.336126545389549,1.7338850248031312e-5,6e-4,***
google--gemma-3-4b-it,doc_length,levelB1:typeregular,-19.380246913576613,7.419234492633589,-2.612162606913001,0.009250420377621832,0.333,
google--gemma-3-4b-it,doc_length,levelC1:typeregular,-41.30493827160136,7.4192344926335885,-5.567277636609575,4.10251911400289e-8,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.487438056504256,0.017479164746340495,85.09777658658842,8.497127299115e-312,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.5385989006736299,0.024737447993441044,21.772613764218345,1.158622083798142e-75,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.8384980141068555,0.024728040044661566,33.90879392755899,4.326870070020632e-135,0,***
google--gemma-3-12b-it,dependency_distance_mean,typeregular,0.1418240323648348,0.02471927184322858,5.737387139244761,1.6159902132250145e-8,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1:typeregular,-0.12894360828207463,0.03497738265906406,-3.686485336508165,2.506733443059904e-4,0.009,**
google--gemma-3-12b-it,dependency_distance_mean,levelC1:typeregular,-0.17674694798258306,0.034966481897418675,-5.05475353514564,5.937154837189473e-7,0,***
google--gemma-3-12b-it,doc_length,(Intercept),51.409876543214416,3.709617246316855,13.85853933967377,1.579473658206589e-37,0,***
google--gemma-3-12b-it,doc_length,levelB1,77.8432098765388,5.246191020954367,14.838043366247433,5.92913411185178e-42,0,***
google--gemma-3-12b-it,doc_length,levelC1,147.37530864197078,5.246191020954367,28.091868567752005,2.7120864980336522e-107,0,***
google--gemma-3-12b-it,doc_length,typeregular,22.74814814814462,5.246191020954388,4.336126545389549,1.7338850248031312e-5,6e-4,***
google--gemma-3-12b-it,doc_length,levelB1:typeregular,-19.380246913576613,7.419234492633589,-2.612162606913001,0.009250420377621832,0.333,
google--gemma-3-12b-it,doc_length,levelC1:typeregular,-41.30493827160136,7.4192344926335885,-5.567277636609575,4.10251911400289e-8,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.487438056504256,0.017479164746340495,85.09777658658842,8.497127299115e-312,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.5385989006736299,0.024737447993441044,21.772613764218345,1.158622083798142e-75,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.8384980141068555,0.024728040044661566,33.90879392755899,4.326870070020632e-135,0,***
google--gemma-3-27b-it,dependency_distance_mean,typeregular,0.1418240323648348,0.02471927184322858,5.737387139244761,1.6159902132250145e-8,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1:typeregular,-0.12894360828207463,0.03497738265906406,-3.686485336508165,2.506733443059904e-4,0.009,**
google--gemma-3-27b-it,dependency_distance_mean,levelC1:typeregular,-0.17674694798258306,0.034966481897418675,-5.05475353514564,5.937154837189473e-7,0,***
google--gemma-3-27b-it,doc_length,(Intercept),51.409876543214416,3.709617246316855,13.85853933967377,1.579473658206589e-37,0,***
google--gemma-3-27b-it,doc_length,levelB1,77.8432098765388,5.246191020954367,14.838043366247433,5.92913411185178e-42,0,***
google--gemma-3-27b-it,doc_length,levelC1,147.37530864197078,5.246191020954367,28.091868567752005,2.7120864980336522e-107,0,***
google--gemma-3-27b-it,doc_length,typeregular,22.74814814814462,5.246191020954388,4.336126545389549,1.7338850248031312e-5,6e-4,***
google--gemma-3-27b-it,doc_length,levelB1:typeregular,-19.380246913576613,7.419234492633589,-2.612162606913001,0.009250420377621832,0.333,
google--gemma-3-27b-it,doc_length,levelC1:typeregular,-41.30493827160136,7.4192344926335885,-5.567277636609575,4.10251911400289e-8,0,***
