model,language,type,cefr,tokens,types,mean_sentence_length,verbs,nouns,finite_verb,finite_verb_%,participle,participle_%,adverbial_participle,adverbial_participle_%,half_participle,half_participle_%,active_present_participle,active_present_participle_%,passive_present_participle,passive_present_participle_%,dative,dative_%,instrumental,instrumental_%,pos_adj,pos_adj_%,cmp_adj,cmp_adj_%,pos_adv,pos_adv_%,cmp_adv,cmp_adv_%
google--gemma-3-12b-it,english,constrained,A1,3792,803,3.5,729,712,145.6,75.7,6.3,3.3,1.6,0.8,0.3,0.1,0.3,0.1,4.5,2.3,4.0,2.1,14.0,7.4,95.5,93.3,4.0,3.9,127.4,96.4,4.0,3.0
google--gemma-3-27b-it,english,constrained,A1,8678,1333,4.3,2029,1420,177.1,75.8,4.7,2.0,0.6,0.2,0.5,0.2,0.5,0.2,2.5,1.1,10.1,6.2,13.0,8.0,60.3,91.0,2.0,3.0,142.2,95.2,6.7,4.5
google--gemma-3-4b-it,english,constrained,A1,4166,997,3.6,835,712,153.1,76.4,8.2,4.1,1.0,0.5,0.5,0.2,1.0,0.5,3.4,1.7,2.4,1.4,7.9,4.6,74.4,95.1,2.2,2.8,123.9,96.8,2.6,2.1
google--gemma-3-12b-it,english,constrained,B1,27369,7539,7.5,5483,7419,121.2,60.5,26.1,13.0,5.8,2.9,1.9,0.9,3.5,1.8,10.7,5.3,8.7,3.2,19.5,7.2,88.3,92.1,5.0,5.2,83.3,88.7,7.8,8.3
google--gemma-3-27b-it,english,constrained,B1,28531,6977,7.2,6000,7453,131.6,62.6,18.9,9.0,7.2,3.4,2.0,0.9,3.1,1.5,7.1,3.4,8.1,3.1,18.1,6.9,86.0,90.8,4.7,5.0,81.8,87.6,9.0,9.7
google--gemma-3-4b-it,english,constrained,B1,16036,4350,7.1,3454,3508,139.5,64.8,15.6,7.2,3.2,1.5,1.3,0.6,2.1,1.0,4.6,2.1,5.1,2.3,16.2,7.4,80.3,92.1,4.0,4.6,94.6,90.9,5.1,4.9
google--gemma-3-12b-it,english,constrained,C1,49855,13016,10.5,9537,15253,102.2,53.4,31.0,16.2,10.2,5.3,3.0,1.6,5.6,2.9,10.9,5.7,11.4,3.7,21.9,7.2,100.3,93.1,5.9,5.5,55.8,87.3,6.5,10.1
google--gemma-3-27b-it,english,constrained,C1,45204,11455,9.6,8826,13867,102.0,52.3,30.0,15.4,9.0,4.6,3.8,2.0,6.5,3.3,8.8,4.5,10.9,3.6,20.1,6.5,100.5,92.8,5.8,5.3,58.9,88.8,6.3,9.5
google--gemma-3-4b-it,english,constrained,C1,36960,8878,11.0,7506,9535,114.5,56.4,28.2,13.9,5.7,2.8,2.1,1.0,3.7,1.8,9.2,4.5,7.5,2.9,19.8,7.7,85.7,92.3,5.3,5.7,65.9,89.5,5.7,7.8
google--gemma-3-12b-it,english,regular,A1,6936,1757,4.4,1383,1467,141.1,70.8,9.8,4.9,2.5,1.2,1.0,0.5,1.2,0.6,5.0,2.5,6.1,2.9,11.8,5.6,94.6,94.7,2.9,2.9,122.4,94.1,5.8,4.4
google--gemma-3-27b-it,english,regular,A1,9815,1747,4.6,2206,1674,162.5,72.3,6.8,3.0,1.8,0.8,0.7,0.3,0.9,0.4,3.7,1.6,10.2,6.0,11.0,6.5,68.7,88.8,3.5,4.5,140.7,94.3,7.8,5.3
google--gemma-3-4b-it,english,regular,A1,7924,1965,4.7,1561,1528,140.1,71.1,10.3,5.3,2.9,1.5,0.8,0.4,1.6,0.8,4.4,2.2,3.7,1.9,11.2,5.8,80.1,94.6,2.5,3.0,114.8,93.6,5.3,4.3
google--gemma-3-12b-it,english,regular,B1,23180,6707,7.0,4754,6082,127.0,61.9,25.2,12.3,6.8,3.3,2.0,1.0,3.1,1.5,9.1,4.4,7.3,2.8,21.0,8.0,95.3,93.0,4.9,4.8,85.2,89.1,7.7,8.1
google--gemma-3-27b-it,english,regular,B1,27681,6800,6.9,5829,7341,132.3,62.8,21.2,10.1,6.2,3.0,2.5,1.2,3.9,1.8,7.6,3.6,8.5,3.2,19.4,7.3,85.0,91.2,4.7,5.0,83.6,87.6,9.4,9.9
google--gemma-3-4b-it,english,regular,B1,15019,4118,6.9,3347,2994,144.0,64.6,19.1,8.6,3.9,1.8,1.8,0.8,2.1,0.9,6.5,2.9,4.9,2.5,13.3,6.7,79.7,93.0,3.9,4.6,98.7,90.3,6.3,5.7
google--gemma-3-12b-it,english,regular,C1,36834,10318,9.3,7311,10868,111.5,56.2,31.0,15.6,8.1,4.1,3.3,1.7,5.6,2.8,12.0,6.0,10.0,3.4,21.1,7.2,89.6,91.4,6.2,6.3,65.1,87.8,7.1,9.5
google--gemma-3-27b-it,english,regular,C1,40207,10678,8.7,7993,12025,111.4,56.0,28.5,14.3,9.3,4.7,3.1,1.6,4.9,2.5,10.0,5.0,10.4,3.5,21.3,7.1,90.8,91.9,5.3,5.3,66.2,87.9,7.0,9.3
google--gemma-3-4b-it,english,regular,C1,31101,8370,10.0,6199,8026,113.7,57.0,27.6,13.9,7.0,3.5,2.3,1.2,4.2,2.1,9.3,4.7,7.6,2.9,20.5,7.9,82.8,92.6,4.5,5.0,70.4,88.4,5.9,7.4
google--gemma-3-12b-it,lithuanian,constrained,A1,8341,1754,4.1,1954,1824,167.5,71.5,9.2,3.9,1.6,0.7,0.1,0.1,0.1,0.1,6.2,2.7,9.7,4.4,11.7,5.4,75.2,95.9,1.9,2.4,107.4,92.4,5.5,4.7
