model,metric,term,estimate,std_error,t_value,p_value,p_value_adjusted,significance
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.4949940300120177,0.02959214876310219,50.5199552077169,2.96907941216291e-66,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.3892485441713834,0.041849618120541235,9.301125354363192,1.0855545291008228e-14,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.793961502418464,0.041849618120541235,18.97177413021029,1.1495242373496046e-32,0,***
google--gemma-3-4b-it,doc_length,(Intercept),38.10000000000033,4.775925868848428,7.977510758387673,5.4979120537506884e-12,0,***
google--gemma-3-4b-it,doc_length,levelB1,30.977777777777614,6.754179136613954,4.586460789861073,1.5027180085404617e-5,3e-4,***
google--gemma-3-4b-it,doc_length,levelC1,102.0888888888889,6.754179136613953,15.11492171350207,4.614451560324623e-26,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.4013753462606704,0.029085570473889964,48.181119483926956,3.3868853389461834e-63,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.453591284943402,0.041211326147113245,11.006471457001997,4.987522984491661e-18,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.700343946485769,0.0411843945273646,17.005080553519655,4.644231437609717e-29,0,***
google--gemma-3-12b-it,doc_length,(Intercept),33.71111111111049,5.591575864998277,6.028910619300142,3.891693157477082e-8,0,***
google--gemma-3-12b-it,doc_length,levelB1,72.63703703703767,7.907682423318657,9.185629005894462,1.8714938621780415e-14,0,***
google--gemma-3-12b-it,doc_length,levelC1,131.5074074074081,7.907682423318656,16.630334953716783,9.384534277566599e-29,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.510259318399492,0.023855192450373028,63.30945858187263,2.4600176374287602e-74,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.3627355357532489,0.03376798142826112,10.741996424153092,1.2639535797922388e-17,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.6243415894469139,0.033736336696337785,18.50650220462996,7.518359105806268e-32,0,***
google--gemma-3-27b-it,doc_length,(Intercept),48.35185185185199,4.854607796649231,9.959991389052195,4.878776433612204e-16,0,***
google--gemma-3-27b-it,doc_length,levelB1,79.9518518518518,6.865452186023506,11.645533270862408,1.9304342330957508e-19,0,***
google--gemma-3-27b-it,doc_length,levelC1,133.9444444444444,6.865452186023506,19.509923136180998,1.5943108489532652e-33,0,***
