model,metric,term,estimate,std_error,t_value,p_value,p_value_adjusted,significance
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.7049474643511506,0.02424856936912645,70.3112599509441,1.9186111199756664e-78,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.4588932822880731,0.03429265566996339,13.381678185105196,7.877595020754973e-23,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.7343404531908396,0.03429265566996339,21.413927817612606,1.9244244534386874e-36,0,***
google--gemma-3-4b-it,doc_length,(Intercept),62.92222222222285,4.584397909227932,13.725296858627114,1.7495389947288216e-23,0,***
google--gemma-3-4b-it,doc_length,levelB1,46.76666666666598,6.483317698544986,7.213385004588246,1.905489341517761e-10,0,***
google--gemma-3-4b-it,doc_length,levelC1,100.33333333333256,6.483317698544986,15.47561572616591,1.0278837336467315e-26,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.4632490744530027,0.028854981745190238,50.71044880133767,4.4393978771234197e-66,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.47638187194547094,0.040857383201048696,11.6596275782352,1.8688525789309647e-19,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.8041962244992591,0.04082298818750253,19.699592318071762,9.811854367735432e-34,0,***
google--gemma-3-12b-it,doc_length,(Intercept),62.637037037036755,6.616659336550704,9.466565203232866,4.976606711691986e-15,0,***
google--gemma-3-12b-it,doc_length,levelB1,71.52222222222248,9.357369371352585,7.643411239187208,2.6102381796585768e-11,0,***
google--gemma-3-12b-it,doc_length,levelC1,132.40000000000026,9.357369371352586,14.14927580024151,2.786948085811919e-24,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.719589727803189,0.024289525404458917,70.79552602075616,1.0667213277585602e-78,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.29341078450706054,0.034350576250591736,8.541655382040531,3.893699196035098e-13,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.4467138961210825,0.034350576250591736,13.004553194748436,4.173447424217908e-22,0,***
google--gemma-3-27b-it,doc_length,(Intercept),96.91481481481458,5.748297518180268,16.859742299054624,3.766907577894714e-29,0,***
google--gemma-3-27b-it,doc_length,levelB1,57.10000000000013,8.129320310766143,7.023957454890687,4.5390335663375244e-10,0,***
google--gemma-3-27b-it,doc_length,levelC1,85.47777777777783,8.129320310766143,10.514750866019453,3.625804843721054e-17,0,***
