model,metric,term,estimate,std_error,t_value,p_value,p_value_adjusted,significance
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.3129522681831498,0.027710616321696645,47.38083963708684,8.231838718142677e-62,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.5729354760621748,0.03918872942386065,14.619904357331226,1.1514513421757944e-24,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,1.0313321105985727,0.03926282427771023,26.267394910357144,4.310954476383464e-42,0,***
google--gemma-3-4b-it,doc_length,(Intercept),20.8370370370371,6.062389435085847,3.437099721183127,9.039198704553381e-4,0.0163,*
google--gemma-3-4b-it,doc_length,levelB1,52.5185185185183,8.573513359485753,6.125670575926927,2.5488094069655413e-8,0,***
google--gemma-3-4b-it,doc_length,levelC1,144.29259259259234,8.573513359485753,16.830042310827768,4.2378688231996487e-29,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.1950820395802737,0.03267504502246259,36.574763363255045,2.564641383282293e-54,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.7121730371977824,0.04627361203789314,15.390478629906584,1.5706671864949482e-26,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,1.0367631720148949,0.046304425843271706,22.390152844656043,7.541286917204715e-38,0,***
google--gemma-3-12b-it,doc_length,(Intercept),18.999999999999822,6.781917647758431,2.8015674897320126,0.006266814819556338,0.1128,
google--gemma-3-12b-it,doc_length,levelB1,105.77777777777801,9.591079916357431,11.028766176515298,3.3154186668755276e-18,0,***
google--gemma-3-12b-it,doc_length,levelC1,201.71851851851878,9.591079916357431,21.03188799151711,7.171064620570705e-36,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.459182608432991,0.0199402655331688,73.17769194225498,6.281017810985016e-80,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.47136498410021505,0.0281997939543281,16.71519248912349,6.690147541251062e-29,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.7921971230192263,0.0281997939543281,28.09230181973156,2.0865890792572733e-45,0,***
google--gemma-3-27b-it,doc_length,(Intercept),43.377777777777986,4.469560220329467,9.705155684104522,1.6174931908467396e-15,0,***
google--gemma-3-27b-it,doc_length,levelB1,87.922222222222,6.320912681433203,13.909735295107183,7.846983582794515e-24,0,***
google--gemma-3-27b-it,doc_length,levelC1,159.0925925925924,6.320912681433205,25.169243843520352,1.0482349046617988e-41,0,***
