model,metric,term,estimate,std_error,t_value,p_value,p_value_adjusted,significance
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.526602077230941,0.028243051236063337,54.05230704257741,1.1296056934486961e-67,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.5797410011579932,0.03997517292195757,14.502526412826422,9.410158657691218e-25,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.8943015408830104,0.03994170610083894,22.390168778099,1.968658466814042e-37,0,***
google--gemma-3-4b-it,doc_length,(Intercept),42.16296296296286,5.943077781586362,7.094465950554743,3.287926567737457e-10,0,***
google--gemma-3-4b-it,doc_length,levelB1,68.66666666666687,8.40478120095766,8.169952914282034,2.232695177987265e-12,0,***
google--gemma-3-4b-it,doc_length,levelC1,135.25925925925958,8.40478120095766,16.093132709254565,8.167348473504706e-28,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.3490745375381916,0.022805026865266757,59.15689314941796,3.757697131994993e-71,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.6558142199688904,0.032340502552403776,20.27841771803715,1.4206627152195063e-34,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.9564165419953976,0.0323157827706073,29.595957764182728,6.727094784060197e-47,0,***
google--gemma-3-12b-it,doc_length,(Intercept),41.3740740740741,6.374998559380162,6.490052301768188,5.0742806509902135e-9,0,***
google--gemma-3-12b-it,doc_length,levelB1,90.59999999999994,9.015609422784381,10.049237467079516,3.208228173883988e-16,0,***
google--gemma-3-12b-it,doc_length,levelC1,183.95555555555552,9.015609422784383,20.404117672917405,6.451991967114968e-35,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.5866375547437592,0.020854741221720485,76.08042400887025,2.2418232740628167e-81,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.38095933315885977,0.02949305787553836,12.916915389598469,6.162775638433259e-22,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.6655103526269178,0.029493057875538364,22.564983103325282,4.023230655585526e-38,0,***
google--gemma-3-27b-it,doc_length,(Intercept),70.6925925925922,5.153672708027499,13.716934814754442,1.8144851118084593e-23,0,***
google--gemma-3-27b-it,doc_length,levelB1,74.26296296296347,7.288393839724577,10.189208294178819,1.6636281932356158e-16,0,***
google--gemma-3-27b-it,doc_length,levelC1,122.91111111111158,7.288393839724577,16.863950249394907,3.704586638537333e-29,0,***
